id,rating,review
1,1,poorly made and i dont believe theres copper in it only in the description on amazon doesnt have copper mentioned packaging none of the litter trays camper mention in the sticker on the back of the packaging or sku numbers its uncomfortable but i will have to see if i can find out a way to find somebody to let me know if theres copper in this product and i will get back with an answer
2,1,absolutely pathetic i placed an order for half kg mocha walnut cake the order was taken over call and rest of the communication like what message is to be written on cake etc was done on whatsapp when i called the next day to collect the cake they could not find my order i had to call multiple times and finally i was told my order is ready upon reaching the outlet the message was not written on the cake and they hurriedly packed a cake and gave me when i asked them if this is really mocha walnut they said yes you can see the walnut on the cake they even had no idea of how much payment is remaining or how much i have already paid upon reaching home when the cake was cut we realised it is not mocha walnut but butterscotch the outlet cheated me and so i called them and blasted over phone i reached the outlet at 1030 pm at night and slammed the cake in the store and demanded my money back i was paid back the amount but the experience was terrible and bitter specially because it was a bday cake the store management is pathetic and there is no coordination or even an ounce of professionalism in them never ever going back and i strictly recommend anyone to go at their own risk i will for sure completely avoid this place
3,1,doesnt work appropriately
4,1,not how it looks in the picture  1 in dollar store
5,1,the bill is so crooked its un wearable
6,1,worked great for a short time threw it away and looked elsewhere
7,1,the seam has come apart with just a few wears
8,1,dull after just 6 months i wish i could return it
9,1,plz dont buy this shawarma very cheap quality of food items they used and not fresh if ther is negative maarking i will give them 10000 and very cheap paking
10,1,i did not care for the terry cloth top with noisy plastic liner beneath it
11,1,i recieved  it broken i was looking forward  to it  i am really disappointed  its  going  in the trash
12,1,after months of wearing i realized they were just plastic when compared to another blue light brand unfortunate
13,1,ive never been able to copy large files on my mac it always throws an error this has been the case for 3 mac os versions and 2 different macs using apfs and apfs encrypted its totally unusable for me
14,1,my dms have been broken on my one account for about 2 weeks and ive reported it several times and they have not gotten fixed if this continues for much longer ill be deleting the app
15,1,not very gooddisnt work well for memaybe user error
16,1,cracks cheap plastic avoid
17,1,garbage  jack of all trades adequate at none their instructions are beyond useless into the realm of actively destroying your food by lieing about the capabilities and temperatures of the slow cooker  its easier to use a soup pot to make pot roast  save yourself some money or get a traditional crock pot
18,1,they drainy phone battery constantly and they take way to long to charge also they dont stay in my ears they give you 2 sets to use and they are way to small
19,1,6 weeks later and the left headphone will not keep a charge  dont waste your money
20,1,item came in a old box parts are missing and the parts do not match
21,1,the product is not working properly since the day i purchased it sound getting crashed when connected to bluetooth and average sound quality and poor build quality 1010 will not recommend this product for anyoneread more
22,1,when i did the purchase  it never said it was a used item  i totally disappointed because its a christmas gift i paid 80 with the shipping for a used pair of joysticks
23,1,"ich mchte mir einen neuen business account erstellen und es klappt nicht 
schon mehrmals probiert 
das ist anstrengend bitte produkt verbessern"
