ID,Rating,Review,word_count
,1,very worst experience,3
,1,waste of money,3
,1,its very much thin waste of money,7
,1,waste of money very bad taste installation not good cheating,10
,1,leakage of water,3
,1,very bad quality,3
,1,not at all workingvery poor quality and bad product,9
,1,very bad quality,3
,1,not good at all,4
,1,heating very much,3
,1,very low lighting,3
,1,hrx support is very bad,5
,1,cheap material not worth for money,6
,1,adjust problem hook not locking very cheap strap,8
,1,its not ok,3
,1,very small in size,4
,1,data transfer speed is very slow,6
,1,useless please dont buy this seeds,6
,1,very bad quality,3
,1,vary bad fan no speed no air,7
,1,bad sound quality,3
,1,waste of money,3
,1,poor sound quality,3
,1,best dslr for starting one in 19990rs good,8
,1,not good after wash faded,5
,1,waste of money and time very bad product,8
,1,very poor quality,3
,1,dont waste ur money quality is not good,8
,1,waste of money ðði am disappointed,6
,1,dont waste your money,4
,1,product is not good,4
,1,colour not same,3
,1,stopped working after 15 month,5
,1,not support of prime videos,5
,1,not good product,3
,1,terrible customer support just dont buy this product,8
,1,size is very small,4
,1,too small in size,4
,1,dont give the demo,4
,1,very disappointed not at all smash well,7
,1,heat not holding even 30 minutes also,7
,1,quality is very bad after 15 days is cloth holes,10
1719.0,1,the motor became jam in 20 days,7
,1,bakwaas products plz dont buy m caffeine product,8
,1,broken platesðð but good quality,5
,1,not worth it totally a waste of money,8
,1,received faulty cartridgeprinter not detecting the same,7
,1,it is okbut not worthfull comparing with product price,9
,1,leakage by auto cut butten from bottom,7
,1,worst experience this product is overpriced,6
,1,hitting problem and smoll filter not extra filter,8
,1,worst football like any thing flip kart is cheaters,9
,1,totaly waste of money,4
,1,dont waste ur money øæ,5
,1,quality not good,3
,1,range is very poor not even 10 meters,8
,1,very bad product,3
,1,very bad product dont buy it,6
,1,very bad prodect,3
,1,not so good,3
,1,poor quality no spire available pin broken in three days,10
,1,very poor product,3
,1,worst producthated itt,3
,1,worst product it was not work with in 2months,9
,1,aquagrand product is very good,5
,1,wifi not working,3
,1,its very bad cloth is not good,7
,1,poor quality vary bad product ðð,6
,1,doesnt match at all with add shown in app,9
,1,3rd class quality,3
,1,so light weight not good,5
,1,broken in just 3 days,5
,1,quality bad cloth not good,5
,1,very bad to warest,4
,1,very poor matrial quality and color feel very vwry bad,10
,1,recieved broken piece,3
,1,not user friendly useless to me want to return,9
,1,very worst product dont be west your money,8
,1,heavy heat produce in motor,5
,1,dont buy this tv worst display,6
,1,very very wrost product,4
,1,very slow moving fan,4
,1,very bad quality,3
,1,waste of money its not vermicompost,6
,1,âââââââââââvery badthey fool customers by good reviews,7
,1,dont buy damge products not working,6
,1,this product is really extremely worst product,7
1742.0,1,dont purchase this smartphone,4
,1,this product is not goodplease dont take it here,9
,1,very very very worst product,5
176.0,1,dont buy this phone it has bad camera quality,9
,1,weight lesscloth not stiff,4
,1,after the first wash its slightly discoloured has been noticed,10
,1,very worst quality print brightness low,6
,1,in a month the joints have come apart,8
,1,very bad product,3
,1,meterial is very poor qualityð,5
,1,not so good dont buy,5
,1,very poor product,3
,1,not good quality flipkart service not good,7
,1,fan is vibrating not god,5
,1,2 hours for cocking time dont busy this product,9
,1,useless bcz of paper,4
,1,its very heavy wall screw is very short,8
,1,motor is not working,4
,1,dont waste your money,4
,1,quality not soo gooodd waste of money ðððð,8
,1,torn after first use itself,5
,1,very small and immature plant,5
,1,dont purchase major side effects hai iske,7
,1,dont waste your money,4
,1,madar chud company its too bad device,7
,1,very bad product,3
,1,55 inch hight men not feet,6
,1,not good quality,3
,1,very poor quality,3
,1,very bad deliverynot good product,5
,1,not good very low,4
,1,not bed sees but seeds not for grow,8
,1,properly not working this products very worst,7
,1,worst performance evernot durable dont buy at alll,8
,1,not good quality,3
,1,quality of the product is too poor,7
,1,product quality very poor,4
,1,very bad quality dont purchase,5
,1,waste of money cheap,4
,1,very worst design,3
,1,very small size,3
,1,ok ok qualityno grip when you walkingwest of money ý,10
,1,looking smart but not good working,6
,1,not good itam,3
,1,so bad dont wast your moneyi,6
,1,hp 46 black ink prints only 650 pages,8
,1,veri poor quality item,4
,1,dont purchase this item irritating stuff,6
,1,wast of maney,3
,1,so so so bad,4
,1,no purchase this oven very bad experience ever,8
,1,not as expected,3
,1,stopped working after 20 days no good customer support,9
,1,poor quality turn remort button not avail,7
,1,dont buy waste of money,5
,1,wrost shoes ever dont buy,5
,1,poor quality not able to return also,7
,1,product stopped working after one week,6
,1,my product is not working,5
,1,very dirty online flipkart product i never seen,8
,1,very bad products,3
,1,product qualiti is not good product finishing very bed,9
,1,transfer speed not good,4
,1,very poor item,3
,1,quality good but size very small 4x5,7
,1,it is small and not comfortable,6
,1,bulb fuse in a month,5
,1,this product was dead,4
,1,not bad product,3
,1,water not heating its damaged,5
,1,bad experience no worth of this,6
,1,waste of money,3
,1,clock stop working after few days,6
,1,charging issuesonly one 500mah battery includedplaying time 15 only minutes,10
,1,too bad unwancise,3
,1,dont buy this product ððððððð,5
,1,very bad and very poor quality dont buy this product,10
,1,chitar selar only 5kg and soil mix product,8
,1,poor quality not satisfied not for heavy cold,8
,1,quality is not good as shown,6
,1,waste of product,3
,1,very bad product pls dont purchase,6
,1,not good very poor quality,5
,1,very bad experience with this dont buy,7
,1,very bad celling fan,4
,1,every few days connecting problem,5
,1,waste of money,3
,1,waste power bankit will not working after few days,9
,1,missing product and small,4
,1,dont buy totally wasteuseless engineer who made thischeating flipcart,9
,1,not working properly,3
,1,quality is not good,4
,1,motar is very loud noise bad product,7
,1,not working only,3
,1,its shaking rods are coming out,6
,1,item brand other,3
,1,third classworst qualitydont buy,4
,1,worst product dont waste your money,6
,1,worst product waste of money,5
,1,not good ð,3
,1,received a defective productmotor does not start,7
,1,spoiled my watch by this charger,6
,1,worst dont waste money,4
3111.0,1,bad very bad,3
,1,not worthy product,3
,1,very bed products in flipkart,5
,1,product is goodbut there is no sizes option,8
,1,very bad and dirty evn broken,6
,1,fabric quality very poor,4
,1,the table clock is not working,6
,1,worsted product all ready replacement not working bass ððð,9
,1,bad product money vest,4
,1,poor and unclean fabric material and smells dirty,8
,1,quality very low,3
,1,very worst experience it only 3 kg,7
,1,toooooo small size,3
,1,picture quality is very dull,5
,1,very tight not satisfied,4
,1,size very small and price so high,7
,1,size no fit,3
,1,not good product,3
,1,bad product side effects problem,5
984.0,1,camera working not sertify,4
,1,dont buy this one worst product,6
,1,quality is very low,4
,1,i am not satisfied,4
,1,the product had poor quality had broken hinges,8
,1,lights not working well,4
,1,product is very very bad quality,6
,1,very bad quality and size,5
,1,very bad product do not buy any one purchase d,10
,1,weight was not okvery disappointing,5
,1,very low product,3
,1,its not working waste product and ur rejected the replacement,10
,1,very bad product,3
,1,product is damaged,3
,1,waste of money,3
,1,not good for dough making also acc are not useful,10
,1,worst product dont buy this,5
,1,product is not so good,5
,1,very bad quality it is lake a basketball,8
,1,poor in quality,3
,1,build quality is very bad it has rusted screws,9
,1,very bad quality,3
,1,noise level is high,4
,1,very poor my money is totally waste in this product,10
,1,this is only a waste not fertilizer,7
,1,only two day used colour shades ª,7
,1,freezercool is not controlled it was very cool,8
,1,worrest product no use,4
,1,after wash is colour shade,5
,1,got broken pack bowls were broken,6
,1,no proper holes to assemble,5
,1,not like cloth quality not good,6
,1,very bad sht and not worthy,6
,1,not good quality,3
,1,switch no on off,4
,1,very poor quality worst product,5
,1,not working please dont waste your money,7
,1,waste of money temperature doesnt remain for more than 1hr,10
,1,very worst product,3
1436.0,1,very bad performancephone is hangtime to time,7
,1,vibrator motor runs repeatedly,4
,1,small in size 2pcs damage,5
,1,please dont buy,3
,1,nice product but size is not right size,8
,1,very bad table not stable at all,7
,1,not worth of money,4
,1,defective product received,3
,1,bad product l am purchased,5
630.0,1,not that good that mentioned,5
,1,size is not perfect,4
,1,very worst product,3
,1,not good this product order please,6
,1,very bad toy,3
1400.0,1,flipkart is always dispointed me,5
,1,material is not strong not value for money,8
,1,product is the not good,5
,1,very bad quality niddle broken so easily,7
,1,very bad quality blanket,4
,1,only for office use not for regular use,8
,1,not good product,3
,1,it causes pimples to my faceand dont get absorbed,9
65.0,1,very bad experience,3
,1,very low quality,3
,1,waste of money n product is transparency,7
,1,otg connection issue,3
,1,cheap material not worth for money,6
,1,money waste product,3
,1,worsted qualitylot of air leakages,5
,1,this is not good,4
,1,bad very bad dont parchese this,6
,1,matters very poor,3
,1,not good dont buy,4
,1,very bad quality plz do not purchase this product,9
,1,product is not working properly not useful product,8
,1,plates or bowl small size,5
,1,too much poor qualitynot working,5
,1,data storage to hard disk not working failure this product,10
,1,worst product cheated me,4
,1,not worth buying difficult to use,6
,1,dont buy bad shoes,4
,1,very bad product dont buy it,6
,1,waste of moneynot good not strong,6
,1,not good ðð¾,3
,1,too much noisy n not working properly,7
,1,very smallthis is dinner setððð,5
,1,size is too small,4
,1,nobody came for installation even after 2 weeks,8
,1,instillation is very bad,4
,1,jar not available,3
,1,very bad product,3
,1,very poor quality waste of money,6
,1,worstdont waste your money,4
,1,not a good quality products torn in a few days,10
,1,i m not satisfying this tablet,6
,1,jar cap not closing,4
,1,slow cook time taking,4
,1,money waste very worst,4
,1,uncomfortable wrost product,3
,1,cartridge is bad,3
,1,not operate properly,3
,1,nice product can use,4
,1,wast of money,3
,1,worst products in 100 pages,5
,1,it s not good,4
,1,poor fabric quality,3
,1,its not heating fast dont buy please,7
,1,i purchased it for ma bro back wheel not working,10
,1,39 seeds onlywaste of moneyseeds not good,7
,1,very small in size15gm,4
,1,not best product,3
,1,the worst fans,3
,1,dont buy it waste of money,6
,1,very cheap and poor quality very very poor quality,9
,1,very poor quality,3
,1,no faast charger,3
,1,smaller than expected,3
,1,quality is very bad,4
,1,mic is extremely poor,4
,1,quality is very poor,4
,1,verest product is not coming,5
,1,the charger stopped working in its warranty period,8
,1,waste of money,3
,1,quality is worsestop working within 1 day,7
,1,not good products,3
,1,not value for money,4
,1,very bed experience,3
,1,iron not heating,3
,1,very bad experience very bad very bad,7
,1,not working proper,3
,1,very bad quality,3
,1,it is to bad,4
,1,this is bad product,4
,1,very small size,3
,1,this laptop is only for coding and programming,8
793.0,1,very big and very worst performance total money waste,9
,1,very small size,3
,1,handle and the brush separated immediately,6
,1,very poor qualitycompare with price bad quality,7
2039.0,1,waste of money,3
,1,not good no speed,4
,1,dont buy this settop box waste product,7
,1,very bad product sandal damaged even in one day usage,10
,1,bad qulity donât buy,4
,1,tactically problem with this router unable to setup this router,10
,1,very bad quality,3
,1,i received non working product,5
,1,very thin cloth,3
,1,dont purchase this product defective item received very bad experience,10
,1,very bad quality and worst fitting,6
,1,its not loud,3
,1,i dont like this product,5
,1,very bad quality,3
,1,very disappointed with this product ink cartridge was empty,9
,1,very bad quality,3
,1,third class products,3
,1,really badsoooo hard,3
1620.0,1,very bad mobile phone and flipkart service very very bad,10
,1,worst experience with flipkart,4
,1,issue with not worked asking for replacement too bad,9
,1,bad prdouct stik is very dificult to use dont buy,10
,1,quality is low,3
2003.0,1,motor sound very high,4
,1,ery bad quilty porduct,4
,1,otg is not working,4
,1,product is damage,3
,1,worst pillow ever bad quality and packing,7
,1,its not working properly,4
,1,not good candecen,3
,1,blanket is too thin,4
,1,waste of moneydont buy this product battery was very poor,10
,1,product is very bad quality iam not happy,8
,1,voice not clearvery pooràtotal west of money please dont buy,10
,1,material is not good,4
,1,waste product within two days colour has been gone,9
,1,very small in size,4
,1,brake broke in 2 days,5
,1,product is the quality is the low,7
,1,very bad quality,3
,1,jar blade quality is not good,6
,1,heating not maintain long time,5
,1,worst productdont buywithin one month its gone,7
,1,bad its not good,4
,1,bad quantity and material,4
,1,died within four days,4
,1,waste of money,3
,1,waste of money,3
,1,seed cannot germination plzz dont buy this is poor quality,10
,1,waste of money very bad product,6
,1,it is not working,4
,1,battery full charge 60 minat chala,6
,1,pathetic product quality,3
,1,i dont think its effective,5
,1,soundcamera display quality are very bad waste of money,9
,1,pls replesment my product product probalam,6
,1,very small plant so dont waste your money,8
,1,worst productwaste of money,4
,1,stopped working within 2 weeks,5
,1,it is very bad quality,5
,1,veri bad item,3
,1,this is waste of money battery is not working properly,10
,1,very poor quality it will not worth for the price,10
,1,size not good,3
,1,to hard not comfortable to use,6
,1,very very bad oooooii,4
,1,product is not good,4
,1,not satisfied with fabric,4
,1,very bad product dont believe this,6
,1,worst product dont buy it,5
,1,very bad like road side clothes,6
,1,waste of money,3
,1,worst product remote not worked helicopter automatically runned,8
,1,very smallnot bad product but too small,7
,1,wastage of money,3
,1,very poor product,3
,1,very bad quality,3
,1,worst product camera is not working after just 1 month,10
,1,its not opening apps hangout low performance,7
,1,bad ink quality,3
,1,bad quality material totally not worth the price,8
,1,waste of money,3
,1,poor quality dont buy no return policy,7
,1,no one seed germinated waste product,6
,1,bedsheet is too thin ie tc is very less,9
,1,very poor qualitynot recommended to buy,6
,1,quality is 3 class,4
,1,one bowl was broken,4
,1,very bad quality cotton,4
,1,dont purchase not worthy,4
,1,quality is not good,4
,1,worst quality of the product,5
,1,very bad product,3
1238.0,1,phone is hacking problem,4
,1,wasted of money,3
,1,very bad product,3
,1,more sense are not growing on these packet,8
,1,hight is very less,4
,1,remote not working after 20 days of purchase,8
,1,43pcs balloons ð,3
,1,very poor product quality wise,5
,1,such a worse product waste of money,7
,1,note charging not backup only one month under defeated,9
,1,dont buy this product,4
,1,the sticker started coming out from the date of delivery,10
,1,very bad product,3
,1,too worst quality,3
,1,wast of money plz dont buy,6
,1,if u r buying by looking wifi its horrible,9
,1,very chip quality,3
,1,waste of money,3
,1,not working stoping every half n hour,7
,1,material quality is so bad,5
,1,very small size,3
,1,not sure for oil skin,5
,1,waste of money it working only 20days money waste,9
,1,cheap quality product,3
,1,so for good so for bad,6
,1,very bad quality,3
,1,bad ð quality,3
,1,very poor quality,3
,1,its not good ðº,4
,1,cadridge not working,3
,1,soo much good nhi,4
,1,just ok product not worthy cant see any difference,9
,1,very bad quality,3
,1,product is very small dont buy waste of money,9
,1,bad product bad,3
,1,very poor product,3
,1,very bed quality,3
,1,hair loss problemgastic problemi think waste of money,8
,1,very bad poor quality,4
,1,waste of moneynot good not strong,6
,1,worst product worked only 15 days,6
,1,worst quality and they not taken back pls dont buy,10
,1,dont buy very very bad,5
,1,wast of money worst product wast of time,8
,1,i not happy thismottor is not work,7
,1,found a defective piece bad packing no option for replacement,10
,1,no download update and wireless display problem,7
,1,its not working,3
,1,very small no refund burning smell,6
,1,i am not happy with camera,6
,1,worst everno fittingseems like trouser of 1980s,7
,1,its not only,3
,1,worst product my data has been lost completely,8
,1,very nice so good,4
,1,when i received any call them automatically call end,9
,1,very bad product dont buy,5
,1,it not fixed properly,4
,1,very small size and breakable easily,6
,1,size is very very small,5
,1,very bad product,3
,1,very aprailpool and quality is low,6
,1,lens are blur unexpected product,5
,1,vary bad quantity,3
,1,wast of money,3
3174.0,1,disappointed with the product,4
,1,very worest product,3
