ID,Rating,Review,word_count
3.0,5,my wife is so happy and best product,8
5.0,5,amazing laptop am so much happy thanks for flipkart,9
6.0,5,over all a good laptop for personal use,8
7.0,4,thank you so much flipkart,5
12.0,4,good product but dilevary slow,5
15.0,3,all good but battery backup not good enough,8
17.0,5,i love it,3
20.0,5,awesome quality and very likely,5
21.0,5,incredible laptop performance very good,5
22.0,4,good looking and performance also good,6
28.0,5,nice product in this price range go for it,9
29.0,5,performance of this laptop is very nicedisplay quality is awesome,10
30.0,5,very nice laptop,3
35.0,4,nice product light weight everything is okay,7
36.0,5,everything is good must buy,5
40.0,5,very good pc in this price with hp brand,9
52.0,5,im statisfied valueble money,4
64.0,5,this price range its super,5
65.0,1,very bad experience,3
84.0,1,start hanging within a week,5
85.0,5,great product happy with the purchase,6
87.0,5,best in small segment portable and powerful,7
95.0,5,total good laptop,3
110.0,5,sturdy nice display best performance,5
124.0,3,its nice this is first day,6
125.0,4,this one js nice on time delivery,7
130.0,4,worth it backlit keyboard problem,5
137.0,5,superb laptop under 50k,4
145.0,5,very good performance,3
152.0,5,value for money,3
171.0,1,phone is value for maney but camera is bad condition,10
173.0,5,super camera at night,4
174.0,5,nice phone best,3
176.0,1,dont buy this phone it has bad camera quality,9
180.0,5,working smoothly as expected,4
183.0,2,very bad quality,3
184.0,5,nice product and is bad,5
190.0,5,value for money battery lasts for 10 days incredible,9
196.0,1,dont buy this phone it has bad camera quality,9
200.0,5,working smoothly as expected,4
203.0,2,very bad quality,3
204.0,5,nice product and is bad,5
226.0,3,value for money,3
227.0,5,value for moneythanks flipcart,4
228.0,5,just awesomehighly recommended,3
230.0,4,nice good working,3
233.0,5,product is very nyc,4
268.0,4,good product must buyi bought 2 mobilesthank u fkipkart,9
271.0,5,worth money value for basic purpose thankyou flipkart,8
272.0,1,very bad phone,3
273.0,1,battery backup is very poor so sad,7
288.0,5,camera quality is good,4
289.0,5,vary good product poco c31good,5
291.0,5,nice products thanks filipcard,4
293.0,5,very good ptoduct,3
301.0,1,phone is value for maney but camera is bad condition,10
303.0,5,super camera at night,4
304.0,5,nice phone best,3
306.0,5,everythings goodsound quality aswmdelivery service goodthnx flipcrd,7
311.0,5,this phone is very nice,5
312.0,5,buy without any hesitation,4
328.0,5,camera quality is good,4
329.0,5,vary good product poco c31good,5
331.0,5,nice products thanks filipcard,4
333.0,5,very good ptoduct,3
344.0,5,performance 4battery 5display 4camera 3value for money 4,8
347.0,4,good for basic usage,4
361.0,1,phone is value for maney but camera is bad condition,10
363.0,5,super camera at night,4
364.0,5,nice phone best,3
387.0,4,good for basic usage,4
403.0,1,received dented and unbalanced bottom is uneven totally disappointed,9
410.0,5,excellent low noice,3
430.0,5,excellent low noice,3
438.0,5,very nice lg,3
452.0,5,very nice good product,4
453.0,5,very well liked and very beautiful,6
473.0,4,fridges good but delivery service is bad,7
474.0,4,noise every 20 min like open close door,8
483.0,5,good product fast delivery,4
485.0,4,value for money good product,5
487.0,4,quite good good 4 bachelor,5
488.0,5,it is best parchase thanks flipkart,6
493.0,5,super product fast delivery,4
501.0,5,amazing productvalue for moneygo for it,6
503.0,5,appreciate this product,3
508.0,5,very good refrigerator,3
514.0,3,average qualitycolor goodsmall discoloration present at side,7
522.0,5,very nice refrigerator and nice colour i am happy,9
523.0,5,super fridge i like it very much,7
529.0,5,nice product i buy only 10600,6
530.0,4,nice material thanks to flipkart,5
532.0,5,good product thanks for flipkart thanks delivery boy,8
540.0,5,so nice podack,3
544.0,5,best productdelivered in 3 days onlybest service by flipkarthighly recommended,10
553.0,4,fridges good but delivery service is bad,7
554.0,4,noise every 20 min like open close door,8
559.0,4,best in segment truly value for money product,8
560.0,5,thanks so much,3
561.0,5,value for money,3
568.0,5,delivered on timeperforming well,4
570.0,5,very good product nice colour,5
572.0,5,good looking best lg product good,6
573.0,4,this price perfect refrigeter another company and coruior boy best,10
609.0,4,i like this product,4
621.0,4,we really love it nice and cooling as well good,10
624.0,5,awesome price and awesome work i like it,8
625.0,4,value for money good product,5
627.0,4,quite good good 4 bachelor,5
628.0,5,it is best parchase thanks flipkart,6
633.0,5,super product fast delivery,4
645.0,5,very good product buy this product about price,8
646.0,5,as per price value product is up to the mark,10
650.0,5,good tv compare to otherd,5
651.0,5,value for money,3
652.0,5,gr8 product value for money,5
654.0,5,very nice and satisfied product,5
663.0,3,very good tv nice mi,5
673.0,3,very good tv nice mi,5
684.0,4,very good tv,3
736.0,5,every thing is good except screen mirroring with moto phones,10
753.0,3,very good tv nice mi,5
793.0,5,amazing super cool awesome too good,6
817.0,5,nice picture quality tv look awesomeback panal design solid,9
822.0,5,sooo nice worth for money,5
823.0,5,i like this mi4c tv 2021,6
825.0,4,best tv under this price,5
826.0,5,superb good productvalue for money,5
846.0,5,very nice product good clarity and nice feature,8
865.0,5,good one no remarks everything ok,6
934.0,1,worst phone damn damn heavy and camera quality is worst,10
937.0,5,very nice flipkart,3
944.0,1,camera working not sertify,4
945.0,5,i like the phone value for money,7
948.0,5,nice phone not heating,4
963.0,5,super mobile phon i like it thank you flipkart,9
965.0,5,very nice mobil,3
970.0,5,thanks flipcart to its beautiful service nice product,8
973.0,1,worst mobile getting hanged everyday not user friendly,8
974.0,2,front camera is very poor dont buy it,8
976.0,1,samsung galaxy m 32 is very bad phone,8
984.0,1,camera working not sertify,4
985.0,5,i like the phone value for money,7
988.0,5,nice phone not heating,4
989.0,5,super mobile nd processer,4
993.0,5,very good phone nice working,5
997.0,5,very very good mobile,4
1006.0,5,camera quality is very good,5
1007.0,5,very good and awesome phone comparing to the price range,10
1015.0,1,front camera very poor quality,5
1016.0,3,front camera very poor hd display not,7
1030.0,2,back panel is damage,4
1031.0,1,dummy phone this is,4
1034.0,4,very happy nice good look good device m21,8
1036.0,5,good mobilecharging and camera supper,5
1037.0,5,very nice phone,3
1039.0,5,one of the best smart phone,6
1040.0,1,waste mobile over heating,4
1042.0,4,charging long time three horse,5
1050.0,1,this phone not good camera totally waste,7
1051.0,2,phone was hanging touch was not working properly,8
1052.0,3,average quality mobile,3
1058.0,1,worst phone damn damn heavy and camera quality is worst,10
1061.0,5,very nice flipkart,3
1067.0,5,very good phone,3
1071.0,5,best 5g mobile,3
1079.0,1,front camera very poor quality,5
1080.0,3,front camera very poor hd display not,7
1118.0,3,camera quality is not too good,6
1128.0,3,camera quality is not too good,6
1133.0,5,phone working is very good,5
1135.0,4,everything is ok except battery backup,6
1136.0,2,not a good product,4
1137.0,5,mi good phone and good battery im happy,8
1141.0,1,phone is hacking problem,4
1143.0,2,phone is slow,3
1145.0,4,nice phone and good qualitybut camera not good quality,9
1148.0,3,product is good,3
1149.0,4,nice good product,3
1152.0,5,value of money,3
1153.0,5,best ever phone i like redmi,6
1157.0,2,battery drain very fast,4
1160.0,5,phone working is very good,5
1162.0,4,everything is ok except battery backup,6
1163.0,2,not a good product,4
1165.0,5,mi good phone and good battery im happy,8
1168.0,5,wow superb i love it battery backup so nice,9
1171.0,5,value of money,3
1172.0,5,osm products very fast deleveary quality osm price range,9
1174.0,5,amazing night photo,3
1175.0,4,redmi mobiles are vry gud looking,6
1176.0,5,nice for camera quality,4
1186.0,4,very good this product,4
1188.0,5,wow superb i love it battery backup so nice,9
1191.0,5,value of money,3
1192.0,5,osm products very fast deleveary quality osm price range,9
1194.0,5,amazing night photo,3
1195.0,4,redmi mobiles are vry gud looking,6
1196.0,5,nice for camera quality,4
1198.0,5,wow superb i love it battery backup so nice,9
1201.0,5,value of money,3
1202.0,5,osm products very fast deleveary quality osm price range,9
1204.0,5,amazing night photo,3
1205.0,4,redmi mobiles are vry gud looking,6
1206.0,5,nice for camera quality,4
1210.0,1,very bad performancephone is hangtime to time,7
1215.0,5,its really nice,3
1217.0,5,very good product,3
1222.0,5,it was good,3
1224.0,5,phone is very nice camera quality is also good,9
1226.0,4,nice and gud thank you filpkart,6
1227.0,5,veri good mobile,3
1238.0,1,phone is hacking problem,4
1240.0,2,phone is slow,3
1242.0,4,nice phone and good qualitybut camera not good quality,9
1245.0,3,product is good,3
1246.0,4,nice good product,3
1247.0,1,phone is hacking problem,4
1249.0,2,phone is slow,3
1251.0,4,nice phone and good qualitybut camera not good quality,9
1254.0,3,product is good,3
1255.0,4,nice good product,3
1261.0,3,camera quality is not too good,6
1271.0,3,camera quality is not too good,6
1296.0,5,phone working is very good,5
1298.0,4,everything is ok except battery backup,6
1299.0,2,not a good product,4
1300.0,5,mi good phone and good battery im happy,8
1312.0,1,its not perfect mobile,4
1322.0,1,its not perfect mobile,4
1332.0,1,its not perfect mobile,4
1376.0,5,value of money,3
1377.0,5,best ever phone i like redmi,6
1381.0,2,battery drain very fast,4
1396.0,1,very bad performancephone is hangtime to time,7
1401.0,5,its really nice,3
1403.0,5,very good product,3
1406.0,5,value of money,3
1407.0,5,best ever phone i like redmi,6
1411.0,2,battery drain very fast,4
1420.0,5,it is excellent,3
1423.0,4,its a great phone best for your parents,8
1426.0,5,value of money,3
1427.0,5,best ever phone i like redmi,6
1431.0,2,battery drain very fast,4
1436.0,1,very bad performancephone is hangtime to time,7
1441.0,5,its really nice,3
1443.0,5,very good product,3
1465.0,1,dont buy this phone it has bad camera quality,9
1469.0,5,working smoothly as expected,4
1472.0,2,very bad quality,3
1473.0,5,nice product and is bad,5
1495.0,1,dont buy this phone it has bad camera quality,9
1499.0,5,working smoothly as expected,4
1502.0,2,very bad quality,3
1503.0,5,nice product and is bad,5
1550.0,1,phone is value for maney but camera is bad condition,10
1552.0,5,super camera at night,4
1553.0,5,nice phone best,3
1560.0,1,phone is value for maney but camera is bad condition,10
1562.0,5,super camera at night,4
1563.0,5,nice phone best,3
1570.0,1,phone is value for maney but camera is bad condition,10
1572.0,5,super camera at night,4
1573.0,5,nice phone best,3
1610.0,1,very bad mobile phone and flipkart service very very bad,10
1620.0,1,very bad mobile phone and flipkart service very very bad,10
1651.0,5,excellent mobile very nice look,5
1652.0,5,very nice phone,3
1653.0,5,best products realme 9icamera is so beautiful,7
1664.0,5,wow very nice look superb mobile phone very good,9
1670.0,3,awesome good quality fantastic,4
1674.0,5,wow very nice look superb mobile phone very good,9
1680.0,3,awesome good quality fantastic,4
1691.0,5,excellent mobile very nice look,5
1692.0,5,very nice phone,3
