ID,Rating,Review
0.0,5,Best under 60k Great performanceI got it for around 58500Battery backup is bit low but thanks to rapid charger its very fast Display is Ok for this price range Decent speakers with many customisation optionsVantage software is so good for customisationOverall good performance till nowWill update later if any problem occurs
1.0,5,Good perfomence...
2.0,5,"Great performance but usually it has also that gaming laptop's issue of battery. It can only stand for 2 - 3 hrs without adapter. So, I prefer that use it with adaptor if you are using any software or playing games."
3.0,5,My wife is so happy and best product 👌🏻😘
4.0,5,"Light weight laptop with new amazing features, battery life is awesome."
5.0,5,"Amazing laptop, am so much happy, thanks for Flipkart."
6.0,5,Over all a good laptop for personal use
7.0,4,Thank you so much Flipkart
8.0,5,Amazing product
9.0,3,"Good for normal work , students, online classes, watching movies etc.Not for havy tasks, gaming, buisness work, office work.editing etc.Overall good laptop in this range in budget laptops."
10.0,5,Laptop received was in good packaging and good condition. Performance wise little bit slow compared to i3 processor of Intel. For general usage this laptop performs good.
11.0,5,Very nice
12.0,4,Good product but dilevary slow
13.0,2,"If you can affort few thousands extra you can prefer other laptops with same config.I came to know about done limitations of this laptop-poor webcam not even suitable for day to day online classes-Sound very low, need to connect external speakers-Keypad not visible due to same colour of laptop body and keys. Backlight not available.-Low battery backupTo save cost Asus has done these compromises.Performance wise doesn't see any issue, but since I'm using HP laptop also these small th..."
14.0,5,Good
15.0,3,All good but battery backup not good enough
16.0,5,"I'll update this review again after a month usage...As of now, it's a good laptop, but battery is not upto the mark..."
17.0,5,I love it ....❣️
18.0,4,Good
19.0,4,Best Laptop 💻 👌 in the segment. Classy performance 👏 because of ssd memory.Battery 🔋 is good enough.Design is so sleeky.Recommend you to buy.
20.0,5,Awesome quality and very likely
21.0,5,Incredible laptop Performance very good 👍
22.0,4,good looking and performance also good
23.0,5,I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.
24.0,5,"First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome. The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second."
